,permalink,name,desc,category_code
125,instorefinance-com,InStoreFinance.com,InStoreFinance.com offers software programs allowing retail stores to increase sales by financing customers via online payment portals.,software
126,attunity,Attunity,"Attunity provides information-availability software solutions enabling access, sharing and distribution of data in various platforms.",software
127,semble,Semble,Semble is a development stage company operating an online lending platform in the U.S.,software
128,acacia-interactive,Acacia Interactive,,software
129,coopkanics,Coopkanics,"Coopkanics offers Wildcard, a product- and service-related software suite for browsing the internet and other communications networks.",software
130,stonewedge,Stonewedge,Stonewedge offers an internet-based platform that enhances the health and wellness services given to senior citizens.,software
131,decision-pace,Decision Pace,"Decision Pace is a web platform that creates real-time data visualizations without data warehousing, ETL or custom programming.",software
132,peaxy,Peaxy,Peaxy helps companies unlock the value of their industrial data.,software
133,cohesiveft,CohesiveFT,,software
134,quote-roller,Quote Roller,Document automation for sales teams,software
135,pango-networks,PanGo Networks,PanGo Networks offers wireless location management platform and asset tracking applications for enterprise markets.,software
136,jaspersoft,Jaspersoft,"Jaspersoft provides a business intelligence suite that allows businesses to make better decisions through reports, dashboards and analytics.",software
137,dropcam,Dropcam,Dropcam develops a Wi-Fi camera with easy setup and continuous cloud recording.,software
138,generic-media,Generic Media,Generic Media is a developer of streaming media production and delivery technologies.,software
139,mortar-data,Mortar Data,Mortar Data is a platform for big data processing and analysis that provides a cloud-based service.,software
140,liveprocess-corp,LiveProcess Corp.,LiveProcess provides a patented web-based platform for emergency management professionals at hospitals and healthcare facilities.,software
141,strobe,Strobe,Strobe is a company that is focused on capturing data points.,software
142,lodo-software,Lodo Software,"D3 Banking offers a function-rich, API-driven digital banking platform for financial institutions.",software
143,smartershade,SmarterShade,SmarterShade allows users to make any window from clear to completely dark with various shades in between.,software
144,datto,Datto,Datto provides security and cloud-based software solutions designed specifically for managed service providers.,software
145,sky-trax,Sky-trax,"Total-Trax provides automated real-time vehicle, driver and inventory tracking products for manufacturing and warehouse operations.",software
146,riverone,RiverOne,RiverOne offers supply chain management software and services for trading partners in distributed electronics industries.,software
147,camino-real,Camino Real,Camino Real develops mobile applications that turns mobile phones into push-to-talk walkie-talkies.,software
148,lvl7-systems,LVL7 Systems,LVL7 Systems gives original equipment manufacturers a new go-to-market model for producing Ethernet communication systems faster.,software
149,austin-logistics-incorporated,Austin Logistics Incorporated,Austin Logistics is a provider of next-generation predictive analytic and business intelligence software solutions.,software
150,brainrush,Brainrush,"BrainRush develops a software platform that provides education, technology, games and media-related services.",software
151,incentient,Incentient,Incentient is a computer software company specializing in iPad-based custom guest experience solutions for the hospitality industry.,software
152,serps,SERPs,SERPs provides search engine optimization dashboard solutions for correlation tracking and analysis.,software
153,unitask,Unitask,"Unitask creates, supports, and sells software products that enable companies to run Oracle E-Busines Suite.",software
154,proteus-biomedical,Proteus Digital Health,"Proteus Digital Health develops digital medicines that collect and aggregate various behavioral, physiological and therapeutic metrics.",software
155,avos,AVOS Systems,AVOS Systems is a technology company with a platform that helps developers create apps in real-time.,software
156,convio,Convio,"Convio provides software and services enabling non-profit organizations to raise funds, influence public policy and support their processes.",software
157,syncronex,Syncronex,"Syncronex is a software company that offers optimizing print operations, automation, and paid digital content strategies.",software
158,crosscurrent,CrossCurrent,"CrossCurrent provides planning, coding, and revenue management solutions for the orthopedic, spine, and neurosurgery markets.",software
159,private-practice,Private Practice,Private Practice provides therapy for entrepreneurs and cognitive behavioral therapy services.,software
160,spearfysh,SpearFysh,"SpearFysh is a sales technology solution helping organizations take a data-driven, empirical approach to sustaining profitable growth.",software
161,airsage,AirSage,"AirSage provides population location, movement, and traffic information based on wireless signaling data.",software
162,litescape-technologies,LiteScape Technologies,LiteScapeTechnologies provides unified communications solutions enabling enterprises to communicate and collaborate with stakeholders.,software
163,motion-computing,Motion Computing,"Motion Computing develops slate tablet PCs for mobile professionals in healthcare, government and field force automation industries.",software
164,memberplanet,MemberPlanet,"MemberPlanet, a web-based company, provides groups with a free portal to manage their communication, financial, and administrative needs.",software
165,nuvixa,Personify Inc,,software
166,emida,Emida,"Fintech, Payments, Web 3.0, Cryptocurrencies, DeFi",software
167,mypunchbowl,Punchbowl,"Punchbowl is a web-based software platform that offers party planning services, customized digital invitations, and greeting cards.",software
168,mvalent,mValent,mValent provides their clients with application configuration management solutions.,software
169,fios,Fios,"Fios provides electronic discovery management services for corporations, law firms, and litigation support companies.",software
170,circuitlab,CircuitLab,"CircuitLab offers tools that enable engineers, students and hobbyists to design, analyze, build and share circuits.",software
171,financialforce-com,FinancialForce.com,FinancialForce develops cloud back-office applications for salesforce CRM.,software
172,tracelink,TraceLink,"TraceLink is a SaaS network creation platform company that connects people, companies, systems and processes, on a network for greater good.",software
173,wso2,WSO2,WSO2 is an open source API-first integration vendor that offers a broad technology platform to rapidly build digital products.,software
174,itelagen,ITelagen,"ITelagen leverages enterprise grade IT management tools to proactively monitor, manage, host and support ones' IT infrastructure.",software
175,vertical-response,VerticalResponse,"VerticalResponse provides web-based, self-service marketing solutions for small businesses to create, share and analyze their campaigns.",software
176,43things,"43 Things, The Robot Co-op",The Begetter provides professional CAD outsourcing services.,software
177,ce-interactive,CE Interactive,"CE Interactive offers Wirewize, a platform that helps users manage, support, improve, and simplify their consumer electronics experience.",software
178,bluechilli,Bluechilli,,software
179,marketecture,Marketecture,Marketecture offers a SaaS-based platform that enables businesses to deploy online marketing strategies.,software
180,metaconomy,Metaconomy,Metaconomy Compliance Reporter is a self-service and robust hosted compliance reporting platform for non-technical business users.,software
181,right-on-interactive,Right On Interactive,"Right On Interactive is a lifecycle marketing automation company that enables organizations to win, retain and grow business.",software
182,activ-financial-systems,ACTIV Financial Systems,ACTIV Financial Systems provides market data services for electronic trading strategies.,software
183,iqr-consulting,IQR Consulting,"IQR Consulting provides custom software and web development, quality assurance, and data analysis services.",software
184,ncircle-network-security,nCircle Network Security,nCircle Network Security is a global company that provides agentless security risk and compliance management solutions for its clients.,software
185,medpagetoday,MedPageToday,Trusted news service for physicians providing a clinical perspective on the breaking medical news that their patients are reading.,software
186,virtualsolutions,Virtual Solutions,"Virtual Solutions provides clients a secure, highly scalable human technology workforce that is available on demand.",software
187,roost,Roost,Roost by VerticalResponse helps local professionals get more business from social media.,software
188,backchannelmedia,Backchannelmedia,Backchannelmedia is a developer of interactive television technologies and products that include TV-to-internet click-through portal.,software
189,expedit-us,Expedit.us,Expedit.us is an online mapping application that offers users navigating options.,software
190,voxware-inc,Voxware,"Voxware provides software products that optimize operations to improve accuracy, productivity and flexibility in supply chain execution.",software
191,pure-software,Pure Software,Pure Software assists contractors and agencies by streamlining the data collection process.,software
192,truckylove,Locally,Locally allows food truck owners and mobile vendors to share their location and business information with their customers in real-time.,software
193,voss,VOSS Solutions,"VOSS Solutions provides integrated, fulfillment software solutions to large enterprises and managed service providers.",software
194,north-by-south,North by South,Open source near-shoring,software
195,athletepath,AthletePath,AthletePath is a company based in Portland focused on developing an online platform providing performance statistics for athletes.,software
196,creativecloud,CreativeWorx,"Openhour helps people make the most of their time, by capturing and analyzing behavioral data.",software
197,bluenote-networks,BlueNote Networks,BlueNote Networks offers communications-enabled business applications and real-time interactive communication services.,software
198,untangle,Untangle,"Untangle, a network software and appliance company, provides multi-function firewall and internet management applications.",software
199,pmw-technologies,PMW Technologies,"PMW Tech is the developer of the online pari-mutuel wagering application BetNow, enabling bettors to view race and runner information.",software
200,revionics,Revionics,"Revionics offers lifecycle price, promotion and markdown optimization solutions for the retail industry.",software
201,liquidplanner,LiquidPlanner,"LiquidPlanner is a priority-based, predictive online project management solution.",software
202,zapproved,Zapproved,Zapproved is a zdiscovery platform that is specifically designed for corporate legal teams to take control of ediscovery.,software
203,aruspex,Aruspex,Aruspex creates strategic workforce planning solutions for organizations' design.,software
204,vertica-systems,Vertica Systems,Vertica Systems develops data management solutions for storing databases and allowing clients to conduct real-time and ad hoc queries.,software
205,xamarin,Xamarin,"Xamarin provides development tools to build and test native mobile apps, such as Xamarin Platform, Xamarin Test Cloud, and Xamarin Insights.",software
206,scout-analytics,Scout Analytics,Scout® Analytics is engaged in providing cloud-based recurring revenue management solutions to maximize customer lifetime value.,software
207,objective-logistics,Objective Logistics,"Objective Logistics is a company that helps lift sales and improve the guest experience in restaurants, retail stores, and other industries.",software
208,affinnova,Affinnova,Affinnova is a global marketing technology company that provides sales solutions for large and mid-sized enterprises.,software
209,cofio-software,Cofio Software,Cofio is a unified workflow and data protection solution that orchestrates data protection in the enterprise.,software
210,sintecmedia,SintecMedia,"SintecMedia is engaged in the design and implementation of management systems for the broadcast, cable, and satellite industries.",software
211,fundgrazing-com,Fundgrazing,Fundgrazing is an event planning system for fundraising organizations and their event planners.,software
212,fastscaletechnology,FastScaleTechnology,FastScale Technology delivers software virtualization and provisioning solutions for enterprise-class Web farms and data centers.,software
213,tenrox,Tenrox,Upland Software is a cloud provider of enterprise work management software such as Tenrox.,software
214,campus-sentinel,Campus Sentinel,,software
215,rallyon,RallyOn,"Rallyon offers a platform that offers programs enhancing the physical, mental, and emotional performance of employees.",software
216,gettinghired,GettingHired,"GettingHired is a software and services organization connecting individuals with suitable jobs, and employers with qualified workers.",software
217,luristic,Luristic,"Luristic is a software company specializing in rich user experiences for websites, web and mobile applications, and games.",software
218,netuitive,Netuitive,Netuitive is a provider of predictive analytics for IT that helps enterprises manage the performance of critical business services and apps.,software
219,aprexis-health-solutions,Aprexis Health Solutions,Aprexis Health Solutions is a technology-based company providing evidence-based support programs for medication management and therapy.,software
220,xcedex,Xcedex,"Xcedex is a provider of software products and services which help organizations with P2V, V2V, V2C, and data center simplification.",software
221,mon-ki,mon.ki,"Mon.ki is a community aggregation platform enabling users to interact with others, and get advice and introduction from them.",software
222,jobaline,Jobaline,Candidate Engagement Platform for hourly workers.,software
223,rtf-logic,RTF Logic,RTF Logic develops enterprise-grade software that enables customers to solve problems in the retail and transportation industries.,software
224,sensable-technologies,SensAble Technologies,SensAble Technologies offers force-feedback haptic devices and touch-enabled 3D modeling software solutions for a variety of industries.,software
225,contextream,ConteXtream,"ConteXtream, a software firm, offers a cloud-based network virtualization framework for carriers, and cloud service providers and operators.",software
226,arcsoft,ArcSoft,"ArcSoft is a software developer of multimedia technologies and applications across desktop, mobile and embedded platforms.",software
227,makana-solutions,Makana Solutions,Makana Solutions provides self-service sales compensation solutions for small- and mid-sized businesses.,software
228,wolfe-diversified-industries,Wolfe Diversified Industries,"Wolfe Diversified Industries solves problems related to high school and college markets using technology, marketing and e-commerce.",software
229,rewardsnap,RewardSnap,"RewardSnap helps consumers interact efficiently with their preferred retailers, and helps retailers respond quickly to their key consumers.",software
230,bridgeport-networks,BridgePort Networks,BridgePort Networks develops fixed-mobile convergence applications for telecommunications service providers.,software
231,jacent-technologies,Jacent Technologies,Jacent Technologies provides on-demand software and services to the restaurant industry.,software
232,ahalogy,Ahalogy,"Ahalogy is the Passion to Purchase Platform, combining category trend data, influencer network & social optimization software to drive ROI.",software
233,blue-cod-technologies,Blue Cod Technologies,Blue Cod Technologies is a provider of managed insurance services for the property and casualty industry.,software
234,credit-coach-electronic-services,Credit Coach,Credit coach enabled users to manage their credit report by providing tools to ensure that their reports were complete and correct.,software
235,fliptop,Fliptop,Fliptop's applications use data science and predictive analytics to help companies close more sales.,software
236,splitcast-technology,Splitcast Technology,Splitcast develops technologies for linear distribution of audio and video content through the internet with social networking features.,software
237,kiha-software,Kiha Software,Kiha Software developed business and personal communication management software to streamline the mobile experience.,software
238,conclusive-marketing,Conclusive Analytics,"OneMagnify is a business intelligence, analytics, and solutions company solving complex issues of businesses.",software
239,corvil,Corvil,Corvil provides monitoring and risk mitigation solutions for the IT industry.,software
240,mendocino-software,Mendocino Software,Mendocino Software develops and markets enterprise-class application data availability and access solutions.,software
241,ounce-labs,Ounce Labs,Ounce Labs delivers source code vulnerability analysis solutions to eliminate business risk caused by software security vulnerabilities.,software
242,huntforce,HuntForce,HuntForce is a trail camera analytics platform.,software
243,freshdesk,Freshdesk,Freshworks is building and delivering online cloud-based software-as-a-service that provides helpdesk support with automation solutions.,software
244,expert-networks,Expert Networks,"Expert Networks supports businesses in wireless integration, data center planning and management, remote monitoring, and other functions.",software
245,nomis-solutions,Nomis Solutions,Nomis Solutions provides pricing and profitability management strategies in data-driven decisions for financial services companies.,software
246,panaya,Panaya,"Panaya, an Infosys company, is the leader in SaaS-based change automation and testing for SAP, Oracle and Salesforce.",software
247,leisurelogix,LeisureLogix,"LeisureLogix offers RoadTrip Wizard, an application built on technology that marries trip booking, location-based content and navigation.",software
248,surepeak,SurePeak,wireless devices software,software
249,club-domains,.Club Domains,.Club Domains offers a comprehensive social platform for club management.,software
250,vanu,Vanu,Vanu develops and delivers software radio access network solutions for the wireless infrastructure industry.,software
251,beehiveid,BeehiveID,Prevent Online Fraud BEFORE it Happens - TechStars '13,software
252,virtual-command,Virtual Command,Virtual Command provides solutions to access user-specific applications and files from various internet-connected devices.,software
253,nextmedium,NextMedium,NextMedium provides marketers and entertainment content providers with an advertising platform for product placement.,software
254,rally-software-development,Rally Software Development,,software
255,zebra-digital-assets,Zebra Digital Assets,Zebra Digital Assets employs encryption and key management architectures to facilitate the safe exchange of an organization's data.,software
256,equity-administration-solutions,Equity Administration Solutions,,software
257,continuityx-solutions,ContinuityX Solutions,"ContinuityX Solutions, an IT service provider, offers services such as managed networking, cloud hosting, data center and VOIP solutions.",software
258,thinglabs,Thing Labs,"Thing Labs develops web-based software that enables users to create, share, explore and enjoy content.",software
259,depotpoint,DepotPoint,DepotPoint develops management platform systems for the property market to manage assets through the entire default servicing process.,software
260,strongloop,StrongLoop,StrongLoop develops application programming interface (API) tiers for connecting enterprise data to devices and browsers using Node.js.,software
261,vantageilm,VantageILM,"VantageILM develops integrated loan and lease management software products to finance companies, lenders, leasing, credit unions, and banks.",software
262,kepware-technologies,Kepware Technologies,"Kepware focuses on the development of communication drivers to automation controllers, I/O and field devices, and more.",software
263,cogito,Cogito,"Cogito offers graph-based relationship analytics software and provides middleware engines, servers, and development tools.",software
264,reachable,Reachable,Reachable helps teams create and leverage their collective rolodex to find referrals to business opportunities.,software
265,everwise,Everwise,Everwise’s software and services connect employees to the experts and insights they need to be successful at every stage of their career,software
266,shepherd-intelligent-systems,Shepherd Intelligent Systems,"Shepherd Intelligent Systems offers real-time fleet management software to locate vehicles, predict arrival times, and manage routes.",software
267,double-encore,Double Encore,Double Encore develops iOS and Android mobile applications for various brands.,software
268,inspro,Inspro,"InsPro Technologies provides group and individual insurance policy administration software for health, life, and annuities.",software
269,concurix-corporation,Concurix Corporation,Polyverse builds data and visual analytics tools that allow developers to achieve breakthrough software performance.,software
270,file-servexpress-holdings,File & ServeXpress Holdings,File & ServeXpress Holdings provides e-filing and e-service solutions for law firms to gain control over managing key support functions.,software
271,morphcard,morphCARD,"morphCARD is an online platform that enables its clients to store, buy, sell, and exchange giftcards.",software
272,carecam-innovations,CareCam Innovations,New Ocean Health Solutions is a software development company that develops enterprise health management platform for its clients.,software
273,rearden-commerce,Rearden Commerce,,software
274,animated-speech,Animated Speech,Animated Speech produces software-based conversational language learning systems.,software
275,rvita,rVita,"rVita is a web-based platform that helps individuals find integrative, complementary, and alternative medicinal solutions.",software
276,continuent,Continuent,Continuent develops database clustering and replication management software for enterprises and web companies.,software
277,daggerboard,Daggerboard,,software
278,process-data-control,Process Data Control,Process Data Control is a consulting firm specializing in information management technology and implementation services.,software
279,fiducioso-advisors,Fiducioso Advisors,Income Discovery helps streamline retiree disbursals with a tax-optimized payment.,software
280,southfork-solutions,Southfork Solutions,"Southfork Solutions provides IT solutions to the livestock industry, including data collection methods and technologies.",software
